model,R2,RMSE,MAE
PLSR,0.1471837621262308,1.103498615384208,0.9010590637561875
MLR,0.7334030526867359,0.7736402920845095,0.6036995356324634
LASSO,0.7905053113756523,0.7150334790709589,0.5936512472749844
Ridge,-0.04524312458931415,1.7386733607685587,1.4803693434640721
SVR,-19.201251242455086,5.7424906396374125,5.405548408237823
RF,-20.140361073703627,5.828934682677969,5.573665923729859
XGBoost,-19.506980112182998,5.733867072866312,5.453194815891258
Ensemble,-6.809205602262394,3.5345303646642923,3.250752626036015
